"Date","Price","Volume"
"2024-09-24 16:06:00 UTC+0","63293.03144364","12851513548.748888"
"2024-09-24 16:05:00 UTC+0","63274.59324663","12963491912.371367"
"2024-09-24 16:04:00 UTC+0","63291.85475768","12848219553.835606"
"2024-09-24 16:03:00 UTC+0","63278.08047898","12846572013.280937"
"2024-09-24 16:02:00 UTC+0","63271.77646469","12845486403.396744"
"2024-09-24 16:01:00 UTC+0","63266.25242641","12963491912.371367"
"2024-09-24 16:00:00 UTC+0","63268.97801370","12970642198.291447"
"2024-09-24 15:59:00 UTC+0","63272.51588466","12973908676.893826"
"2024-09-24 15:58:00 UTC+0","63297.09504772","12972119784.093513"
"2024-09-24 15:57:00 UTC+0","63319.26643526","12972142158.182467"
"2024-09-24 15:56:00 UTC+0","63312.44532448","12958468851.171412"
"2024-09-24 15:55:00 UTC+0","63307.29793637","12844614206.202130"
"2024-09-24 15:54:00 UTC+0","63224.27455539","12955575039.091639"
"2024-09-24 15:53:00 UTC+0","63220.31355729","12846975752.630108"
"2024-09-24 15:52:00 UTC+0","63216.65379280","12952238476.450893"
"2024-09-24 15:51:00 UTC+0","63233.71412519","12844889669.074942"
"2024-09-24 15:50:00 UTC+0","63205.89277135","12872886144.964193"
"2024-09-24 15:49:00 UTC+0","63256.21054435","12975880918.383757"
"2024-09-24 15:48:00 UTC+0","63304.19888953","12859060059.959967"
"2024-09-24 15:47:00 UTC+0","63267.27753263","12854266907.362082"
"2024-09-24 15:46:00 UTC+0","63231.73747163","12861459991.140787"
"2024-09-24 15:45:00 UTC+0","63244.94177222","12973513609.059637"
"2024-09-24 15:44:00 UTC+0","63186.58112559","12983347387.749458"
"2024-09-24 15:43:00 UTC+0","63203.36637556","12986732427.259233"
"2024-09-24 15:42:00 UTC+0","63213.74671838","12981076427.919490"
"2024-09-24 15:41:00 UTC+0","63222.85920822","12982321067.489130"
"2024-09-24 15:40:00 UTC+0","63189.34097299","12984686900.762253"
"2024-09-24 15:39:00 UTC+0","63218.90292921","12987789215.378044"
"2024-09-24 15:38:00 UTC+0","63236.88228122","12984818276.356668"
"2024-09-24 15:37:00 UTC+0","63269.26013131","12985672844.143341"
"2024-09-24 15:36:00 UTC+0","63247.44498705","12992583781.698774"
"2024-09-24 15:35:00 UTC+0","63260.84026733","12987747120.900808"
"2024-09-24 15:34:00 UTC+0","63296.57811187","12871656145.571527"
"2024-09-24 15:33:00 UTC+0","63275.36583199","12981761887.800451"
"2024-09-24 15:32:00 UTC+0","63254.10983319","12984051248.517630"
"2024-09-24 15:31:00 UTC+0","63246.27750645","13005858805.486122"
"2024-09-24 15:30:00 UTC+0","63253.37478288","12889764342.486967"
"2024-09-24 15:29:00 UTC+0","63295.24912204","12898859407.178730"
"2024-09-24 15:28:00 UTC+0","63315.63349862","12891792689.700647"
"2024-09-24 15:27:00 UTC+0","63338.09389182","12897151861.915998"
"2024-09-24 15:26:00 UTC+0","63306.36465678","12900174443.971525"
"2024-09-24 15:25:00 UTC+0","63306.92731300","12904841311.246424"
"2024-09-24 15:24:00 UTC+0","63317.10554207","12910322550.413160"
"2024-09-24 15:23:00 UTC+0","63348.28357489","12914325828.001570"
"2024-09-24 15:22:00 UTC+0","63355.11551233","12915061160.934484"
"2024-09-24 15:21:00 UTC+0","63340.36417924","12913390650.000430"
"2024-09-24 15:20:00 UTC+0","63337.91209049","12908962188.493480"
"2024-09-24 15:19:00 UTC+0","63336.09797705","12885679634.189096"
"2024-09-24 15:18:00 UTC+0","63337.96408053","12896533511.676678"
"2024-09-24 15:17:00 UTC+0","63208.01587751","12902068573.836933"
"2024-09-24 15:16:00 UTC+0","63197.23056647","13013982378.469010"
"2024-09-24 15:15:00 UTC+0","63210.23510226","13004704942.651682"
"2024-09-24 15:14:00 UTC+0","63251.92128745","13000038801.806126"
"2024-09-24 15:13:00 UTC+0","63219.94051305","12891405234.385088"
"2024-09-24 15:12:00 UTC+0","63187.94934897","13001346506.334572"
"2024-09-24 15:11:00 UTC+0","63243.59629909","12986264910.412310"
"2024-09-24 15:10:00 UTC+0","63216.03010598","12863937934.111258"
"2024-09-24 15:09:00 UTC+0","63147.46697928","12863716416.886550"
"2024-09-24 15:08:00 UTC+0","63143.26616014","12864200095.378586"
"2024-09-24 15:07:00 UTC+0","63128.05574273","12858994381.363707"
